epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,766.257,0.8485,0.83248,1.29442,0.80778,0.77303,0.82521,0.60554,1.05915,0.84084,1.59998,0.000540037,0.000540037,0.000540037
43,785.844,0.84265,0.83792,1.29039,0.79301,0.79127,0.86152,0.56506,1.12181,0.83086,1.64831,0.000531038,0.000531038,0.000531038
44,805.417,0.8398,0.82612,1.2906,0.75032,0.75347,0.81959,0.58814,1.1481,0.90935,1.68234,0.000522039,0.000522039,0.000522039
45,825.143,0.82508,0.80804,1.28407,0.80366,0.79146,0.83974,0.60512,1.14039,0.83631,1.71466,0.00051304,0.00051304,0.00051304
46,844.83,0.8314,0.79957,1.28256,0.89784,0.82211,0.88684,0.60275,1.1335,0.83703,1.69292,0.00050404,0.00050404,0.00050404
47,864.504,0.82506,0.78879,1.26856,0.83403,0.73141,0.79163,0.57902,1.09358,0.78962,1.64952,0.000495041,0.000495041,0.000495041
48,884.24,0.80884,0.78037,1.26252,0.831,0.75966,0.79076,0.56284,1.1187,0.81181,1.65662,0.000486042,0.000486042,0.000486042
49,903.792,0.80949,0.77037,1.26603,0.78546,0.72636,0.85556,0.58267,1.16949,0.86723,1.71255,0.000477043,0.000477043,0.000477043
50,923.527,0.8032,0.78863,1.25436,0.78276,0.76076,0.80896,0.58972,1.09597,0.76795,1.61255,0.000468044,0.000468044,0.000468044
51,943.15,0.79296,0.76041,1.25203,0.8282,0.7621,0.81715,0.58388,1.07013,0.7775,1.62976,0.000459045,0.000459045,0.000459045
52,962.819,0.78625,0.7521,1.25028,0.72031,0.79379,0.81502,0.5954,1.1088,0.84315,1.6523,0.000450046,0.000450046,0.000450046
53,982.484,0.78218,0.74035,1.2404,0.74841,0.77747,0.78182,0.56841,1.08698,0.86274,1.62543,0.000441047,0.000441047,0.000441047
54,1002.17,0.78357,0.73299,1.24156,0.82612,0.74961,0.79027,0.56652,1.11842,0.79076,1.6758,0.000432048,0.000432048,0.000432048
55,1021.83,0.7855,0.74559,1.24681,0.75227,0.77721,0.79999,0.5756,1.0727,0.78695,1.60134,0.000423049,0.000423049,0.000423049
56,1041.42,0.76968,0.71799,1.23554,0.84171,0.75922,0.82318,0.61783,1.09495,0.83866,1.65599,0.000414049,0.000414049,0.000414049
57,1061.1,0.77056,0.71429,1.22808,0.83142,0.77657,0.80799,0.60499,1.04561,0.76736,1.58502,0.00040505,0.00040505,0.00040505
58,1080.69,0.75954,0.71869,1.23391,0.81228,0.76692,0.84028,0.62492,1.03431,0.74956,1.58843,0.000396051,0.000396051,0.000396051
59,1100.39,0.75253,0.6915,1.21792,0.81841,0.76893,0.81957,0.6037,1.03173,0.77398,1.58532,0.000387052,0.000387052,0.000387052
60,1120.26,0.75703,0.70544,1.22758,0.824,0.72126,0.78846,0.58712,1.05123,0.79786,1.62876,0.000378053,0.000378053,0.000378053
61,1140.04,0.7576,0.68694,1.2223,0.85692,0.74692,0.81917,0.62475,1.04735,0.74151,1.60126,0.000369054,0.000369054,0.000369054
62,1159.88,0.75041,0.69167,1.22638,0.81521,0.75589,0.80342,0.6061,1.03649,0.709,1.59219,0.000360055,0.000360055,0.000360055
63,1179.69,0.7441,0.6769,1.21102,0.83576,0.74693,0.79152,0.58925,1.03878,0.70481,1.60582,0.000351056,0.000351056,0.000351056
64,1199.48,0.72824,0.68027,1.21365,0.84165,0.76943,0.82865,0.6269,1.01928,0.70586,1.59911,0.000342057,0.000342057,0.000342057
65,1219.36,0.73087,0.66917,1.20639,0.84041,0.7647,0.81817,0.62021,1.06687,0.75438,1.64017,0.000333058,0.000333058,0.000333058
66,1239.2,0.71918,0.67022,1.209,0.81294,0.75973,0.81242,0.61724,1.06541,0.73997,1.61609,0.000324058,0.000324058,0.000324058
67,1259.03,0.72921,0.67043,1.20321,0.83603,0.76699,0.81652,0.61954,1.03772,0.72879,1.60254,0.000315059,0.000315059,0.000315059
68,1278.89,0.72974,0.66729,1.20428,0.85343,0.76933,0.82849,0.63387,1.03036,0.65999,1.55197,0.00030606,0.00030606,0.00030606
69,1298.84,0.71685,0.64081,1.19757,0.80983,0.77726,0.80113,0.62482,0.9948,0.74373,1.56922,0.000297061,0.000297061,0.000297061
70,1318.46,0.71309,0.64601,1.19882,0.80779,0.78209,0.83968,0.65693,0.97256,0.6945,1.52923,0.000288062,0.000288062,0.000288062
71,1338.01,0.71754,0.64112,1.19625,0.82805,0.80866,0.83963,0.63418,1.03063,0.7595,1.60745,0.000279063,0.000279063,0.000279063
72,1357.6,0.71036,0.64495,1.1943,0.83898,0.77254,0.82961,0.63189,0.98579,0.69038,1.54731,0.000270064,0.000270064,0.000270064
73,1377.2,0.70337,0.63828,1.19647,0.84525,0.76746,0.79101,0.60557,0.98366,0.70392,1.57376,0.000261065,0.000261065,0.000261065
74,1396.75,0.70136,0.63129,1.18842,0.8419,0.77258,0.82879,0.62772,0.97216,0.69612,1.55671,0.000252066,0.000252066,0.000252066
75,1416.32,0.68916,0.60464,1.177,0.83618,0.77607,0.83202,0.63051,0.96901,0.7089,1.54159,0.000243067,0.000243067,0.000243067
76,1435.85,0.69385,0.61586,1.18323,0.8063,0.77597,0.83414,0.621,0.97242,0.67822,1.55321,0.000234068,0.000234068,0.000234068
77,1455.38,0.68634,0.60569,1.17533,0.77566,0.84103,0.84378,0.64215,0.99369,0.64959,1.54808,0.000225068,0.000225068,0.000225068
78,1474.86,0.69019,0.60983,1.17055,0.85776,0.7662,0.83589,0.62729,0.99379,0.64804,1.56212,0.000216069,0.000216069,0.000216069
79,1494.44,0.69935,0.6143,1.18353,0.84327,0.83292,0.81983,0.59835,0.99869,0.70905,1.53665,0.00020707,0.00020707,0.00020707
80,1514.08,0.67928,0.60046,1.17,0.82567,0.84104,0.83127,0.60358,1.00021,0.72456,1.52791,0.000198071,0.000198071,0.000198071
81,1533.67,0.67049,0.58392,1.16589,0.84592,0.80063,0.81019,0.59694,1.00399,0.73003,1.56833,0.000189072,0.000189072,0.000189072
82,1552.01,0.66143,0.58351,1.15838,0.82658,0.81948,0.81365,0.60617,0.97058,0.75527,1.54241,0.000180073,0.000180073,0.000180073
