epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.685,1.16773,2.58872,1.54157,0.88764,0.3843,0.54595,0.35576,0.86856,3.09349,1.48648,0.000408333,0.000408333,0.000408333
2,208.745,1.20049,1.82615,1.5147,0.81364,0.42591,0.47951,0.28902,1.12521,2.44875,1.78146,0.000808665,0.000808665,0.000808665
3,386.181,1.24167,1.73018,1.53777,0.61245,0.37013,0.48831,0.26904,1.06146,1.97344,1.68641,0.0011925,0.0011925,0.0011925
4,612.769,1.23478,1.60904,1.5241,0.74337,0.49944,0.561,0.27753,1.19455,2.43567,1.85904,0.00117575,0.00117575,0.00117575
5,850.829,1.24063,1.55854,1.54474,0.69488,0.42857,0.53823,0.28141,1.27965,2.61902,1.86459,0.001151,0.001151,0.001151
6,1092.55,1.17213,1.49541,1.48568,0.61791,0.66508,0.67244,0.42104,0.95106,1.50982,1.45539,0.00112625,0.00112625,0.00112625
7,1333.44,1.19689,1.37276,1.47937,0.65072,0.55556,0.59038,0.35997,1.09461,1.32337,1.69136,0.0011015,0.0011015,0.0011015
8,1579.4,1.10804,1.28409,1.42966,0.58385,0.60238,0.60753,0.33675,1.10766,1.73813,1.57798,0.00107675,0.00107675,0.00107675
9,1819.59,1.09101,1.25926,1.41726,0.68219,0.72945,0.73516,0.46464,1.02639,1.14385,1.49269,0.001052,0.001052,0.001052
10,2063.41,1.1337,1.21819,1.42259,0.47193,0.54191,0.50129,0.29219,1.16815,2.21486,1.68205,0.00102725,0.00102725,0.00102725
11,2295.97,1.0914,1.16068,1.40868,0.79388,0.66336,0.74581,0.47776,1.01241,1.08847,1.53858,0.0010025,0.0010025,0.0010025
12,2531.37,1.05329,1.10644,1.38525,0.78436,0.71508,0.77726,0.52921,1.08768,1.07786,1.51433,0.00097775,0.00097775,0.00097775
13,2775.23,1.04954,1.08358,1.38299,0.64288,0.65952,0.66677,0.40752,1.05001,1.27774,1.54585,0.000953,0.000953,0.000953
14,3019.91,1.03959,1.03292,1.35865,0.71444,0.85441,0.7917,0.53982,0.83459,0.84066,1.38612,0.00092825,0.00092825,0.00092825
15,3256.88,0.9749,0.96518,1.32126,0.63353,0.81124,0.80403,0.56832,0.78082,0.73938,1.31655,0.0009035,0.0009035,0.0009035
16,3504.18,0.99631,0.93997,1.35095,0.63326,0.82222,0.7466,0.50947,0.95581,0.79081,1.41737,0.00087875,0.00087875,0.00087875
17,3744.9,0.97969,0.91692,1.32673,0.59252,0.77633,0.69342,0.39716,1.05806,0.96797,1.4762,0.000854,0.000854,0.000854
