epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,741.695,0.84136,0.82929,1.28979,0.81409,0.75842,0.79333,0.55329,1.10571,0.76153,1.63961,0.000540037,0.000540037,0.000540037
43,759.944,0.84625,0.83052,1.29674,0.76156,0.70678,0.79823,0.6064,1.01179,0.80868,1.56677,0.000531038,0.000531038,0.000531038
44,778.469,0.83054,0.82299,1.28293,0.85049,0.74156,0.82189,0.61934,1.04555,0.79999,1.58544,0.000522039,0.000522039,0.000522039
45,796.472,0.83982,0.81359,1.28717,0.75106,0.78778,0.80203,0.58567,1.08865,0.83857,1.64537,0.00051304,0.00051304,0.00051304
46,814.43,0.82926,0.80956,1.27892,0.74683,0.75165,0.78464,0.61074,1.05766,0.81739,1.57251,0.00050404,0.00050404,0.00050404
47,832.224,0.81704,0.78914,1.27324,0.81653,0.76402,0.79715,0.59284,1.07697,0.74175,1.61167,0.000495041,0.000495041,0.000495041
48,850.053,0.80057,0.76176,1.26153,0.80718,0.75024,0.80063,0.60795,1.10972,0.731,1.66053,0.000486042,0.000486042,0.000486042
49,867.956,0.81236,0.77139,1.26621,0.74965,0.76833,0.82075,0.60043,1.06228,0.78397,1.62148,0.000477043,0.000477043,0.000477043
50,885.851,0.81261,0.76197,1.26758,0.78781,0.77726,0.81517,0.59973,1.03384,0.71564,1.56038,0.000468044,0.000468044,0.000468044
51,903.676,0.79688,0.75611,1.2565,0.83396,0.7276,0.80855,0.60482,1.02654,0.7489,1.58004,0.000459045,0.000459045,0.000459045
52,921.654,0.80265,0.75896,1.2616,0.79589,0.77833,0.8444,0.62541,1.0192,0.7682,1.57235,0.000450046,0.000450046,0.000450046
53,939.789,0.79266,0.7596,1.24709,0.87435,0.7662,0.85582,0.62844,1.06726,0.75733,1.64895,0.000441047,0.000441047,0.000441047
54,955.82,0.77975,0.73217,1.24085,0.81883,0.77349,0.83806,0.63236,1.03248,0.75441,1.59654,0.000432048,0.000432048,0.000432048
55,972.445,0.76918,0.72263,1.23727,0.84343,0.73851,0.82788,0.62099,1.05844,0.75185,1.6,0.000423049,0.000423049,0.000423049
56,988.444,0.78315,0.73288,1.24316,0.82834,0.75635,0.81212,0.60024,1.10454,0.79776,1.65674,0.000414049,0.000414049,0.000414049
57,1004.6,0.77058,0.70808,1.2307,0.78513,0.77606,0.82565,0.62811,0.9915,0.71632,1.5241,0.00040505,0.00040505,0.00040505
58,1020.48,0.77155,0.71825,1.23274,0.8506,0.78569,0.82659,0.60707,1.07883,0.71384,1.61346,0.000396051,0.000396051,0.000396051
59,1036.34,0.76249,0.69018,1.22577,0.78285,0.74105,0.81298,0.62226,1.03778,0.72881,1.57446,0.000387052,0.000387052,0.000387052
60,1052.67,0.76071,0.69144,1.22488,0.80503,0.82646,0.83351,0.62354,1.04687,0.73418,1.59452,0.000378053,0.000378053,0.000378053
61,1070.24,0.76526,0.69747,1.2294,0.73633,0.80091,0.83666,0.6384,0.97718,0.74153,1.50954,0.000369054,0.000369054,0.000369054
62,1088.73,0.74628,0.68992,1.21979,0.86121,0.72889,0.80478,0.63842,1.0032,0.74903,1.55929,0.000360055,0.000360055,0.000360055
63,1107.96,0.74805,0.68033,1.21659,0.81626,0.76897,0.80767,0.63618,0.95259,0.69987,1.51379,0.000351056,0.000351056,0.000351056
64,1126.34,0.74094,0.67632,1.21313,0.80857,0.77809,0.83539,0.62486,0.98681,0.71878,1.53801,0.000342057,0.000342057,0.000342057
65,1144.8,0.73988,0.679,1.2105,0.81153,0.77624,0.83088,0.63444,0.97507,0.71849,1.51519,0.000333058,0.000333058,0.000333058
66,1162.96,0.7475,0.67806,1.22142,0.83965,0.73705,0.82017,0.62755,0.9219,0.73636,1.48774,0.000324058,0.000324058,0.000324058
67,1181.65,0.73403,0.67274,1.20887,0.88461,0.7399,0.81762,0.625,0.98506,0.71564,1.52575,0.000315059,0.000315059,0.000315059
68,1200.35,0.72416,0.65733,1.20203,0.8726,0.73702,0.83723,0.63426,0.99318,0.68225,1.56639,0.00030606,0.00030606,0.00030606
69,1218.9,0.71853,0.64228,1.19606,0.87384,0.75833,0.82748,0.61425,1.056,0.68986,1.61484,0.000297061,0.000297061,0.000297061
70,1237.51,0.71563,0.64769,1.19374,0.78972,0.77444,0.82241,0.6237,1.00801,0.69797,1.55136,0.000288062,0.000288062,0.000288062
71,1256.19,0.70743,0.62783,1.18824,0.87292,0.75578,0.81025,0.63003,1.0231,0.66989,1.60151,0.000279063,0.000279063,0.000279063
72,1274.23,0.71663,0.64857,1.19711,0.84995,0.73065,0.81556,0.62068,1.02398,0.68778,1.59468,0.000270064,0.000270064,0.000270064
73,1292.16,0.70331,0.62785,1.1925,0.84292,0.77451,0.82819,0.63596,0.93585,0.64934,1.48815,0.000261065,0.000261065,0.000261065
74,1310.66,0.69826,0.63187,1.19135,0.86243,0.78332,0.83234,0.64334,0.98182,0.66001,1.55825,0.000252066,0.000252066,0.000252066
75,1329.49,0.69712,0.62401,1.1837,0.83396,0.75494,0.82446,0.63884,0.97039,0.70872,1.52016,0.000243067,0.000243067,0.000243067
76,1348.62,0.69156,0.61448,1.17736,0.85867,0.71596,0.7984,0.60073,1.01618,0.67594,1.5785,0.000234068,0.000234068,0.000234068
77,1367.1,0.69364,0.61561,1.17614,0.87345,0.73185,0.81113,0.6375,0.96694,0.68236,1.54533,0.000225068,0.000225068,0.000225068
78,1385.59,0.69596,0.60756,1.17728,0.83708,0.74638,0.80959,0.62396,0.959,0.66565,1.55151,0.000216069,0.000216069,0.000216069
79,1404.27,0.68488,0.59757,1.16694,0.85374,0.76576,0.83211,0.6186,0.98662,0.69839,1.55872,0.00020707,0.00020707,0.00020707
80,1422.68,0.67891,0.59425,1.16783,0.85554,0.74042,0.81882,0.62336,0.99641,0.67657,1.58448,0.000198071,0.000198071,0.000198071
81,1440.88,0.66859,0.59292,1.16548,0.81451,0.76756,0.81326,0.63556,0.98607,0.74497,1.58628,0.000189072,0.000189072,0.000189072
82,1459.36,0.66451,0.58026,1.15789,0.87266,0.7395,0.81146,0.61967,0.97633,0.7227,1.56521,0.000180073,0.000180073,0.000180073
83,1477.74,0.65931,0.57387,1.15519,0.85362,0.7453,0.80548,0.62996,0.94244,0.71191,1.51974,0.000171074,0.000171074,0.000171074
84,1496.5,0.66591,0.58332,1.15963,0.79925,0.76059,0.81079,0.62321,0.99662,0.70664,1.5714,0.000162075,0.000162075,0.000162075
85,1515.36,0.66895,0.58203,1.16388,0.81572,0.76583,0.80372,0.60881,0.99398,0.7532,1.57843,0.000153076,0.000153076,0.000153076
86,1533.8,0.65686,0.57105,1.15172,0.88256,0.74607,0.79812,0.60695,0.98388,0.70868,1.56548,0.000144077,0.000144077,0.000144077
87,1552.39,0.65087,0.55719,1.14613,0.86558,0.74036,0.80572,0.62385,0.96372,0.70603,1.52746,0.000135077,0.000135077,0.000135077
88,1570.93,0.64492,0.56342,1.14552,0.85712,0.7517,0.80519,0.63513,0.95236,0.68253,1.52096,0.000126078,0.000126078,0.000126078
89,1590.31,0.65635,0.57204,1.15207,0.84223,0.76877,0.79994,0.62515,0.91751,0.65461,1.50802,0.000117079,0.000117079,0.000117079
90,1608.91,0.6458,0.55889,1.15195,0.84459,0.76213,0.80066,0.62449,0.93059,0.66431,1.53879,0.00010808,0.00010808,0.00010808
91,1644.88,0.55981,0.39489,1.14285,0.83285,0.78198,0.80025,0.61929,0.96918,0.67055,1.58106,9.9081e-05,9.9081e-05,9.9081e-05
92,1661.72,0.53753,0.36786,1.1185,0.85031,0.76758,0.80707,0.62477,0.95295,0.69426,1.56352,9.00819e-05,9.00819e-05,9.00819e-05
93,1678.25,0.52363,0.36212,1.11444,0.89692,0.7403,0.80769,0.62779,0.94277,0.70507,1.54599,8.10828e-05,8.10828e-05,8.10828e-05
94,1694.78,0.5131,0.35083,1.10469,0.85507,0.74532,0.80966,0.62874,0.94573,0.69409,1.53458,7.20837e-05,7.20837e-05,7.20837e-05
95,1711.27,0.51047,0.34053,1.09912,0.87725,0.75543,0.81495,0.64013,0.91666,0.67428,1.50636,6.30846e-05,6.30846e-05,6.30846e-05
96,1727.78,0.50167,0.34343,1.09704,0.86736,0.76335,0.81526,0.63854,0.91018,0.67358,1.50955,5.40855e-05,5.40855e-05,5.40855e-05
97,1744.32,0.49481,0.33596,1.09183,0.86387,0.75795,0.8181,0.64558,0.9151,0.66156,1.51873,4.50864e-05,4.50864e-05,4.50864e-05
98,1760.84,0.49093,0.3304,1.08087,0.86665,0.76227,0.81262,0.64587,0.92292,0.6563,1.54023,3.60873e-05,3.60873e-05,3.60873e-05
99,1777.37,0.49027,0.3267,1.08344,0.86937,0.7576,0.82069,0.65,0.92173,0.65909,1.5259,2.70882e-05,2.70882e-05,2.70882e-05
100,1793.87,0.48247,0.32212,1.08664,0.86613,0.75619,0.81589,0.65193,0.90703,0.67391,1.5155,1.80891e-05,1.80891e-05,1.80891e-05
