epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,971.081,0.86492,0.84682,1.30255,0.65929,0.73012,0.66384,0.43952,1.49852,1.50372,2.09798,0.0005941,0.0005941,0.0005941
43,995.953,0.86437,0.84516,1.30493,0.73744,0.69852,0.66756,0.43548,1.50869,1.44629,2.07154,0.0005842,0.0005842,0.0005842
44,1021.66,0.85616,0.83069,1.29094,0.72313,0.68856,0.64417,0.41502,1.52853,1.51125,2.10523,0.0005743,0.0005743,0.0005743
45,1046.31,0.8479,0.81701,1.29734,0.76275,0.69984,0.6709,0.44062,1.51122,1.50153,2.0743,0.0005644,0.0005644,0.0005644
46,1072.23,0.84978,0.81508,1.29426,0.72063,0.67006,0.65474,0.4267,1.52963,1.52157,2.10258,0.0005545,0.0005545,0.0005545
47,1095.35,0.84306,0.81327,1.28745,0.68457,0.72932,0.65713,0.42289,1.53437,1.46236,2.17247,0.0005446,0.0005446,0.0005446
48,1119.6,0.84823,0.80735,1.28901,0.74823,0.70494,0.65389,0.42581,1.49632,1.47153,2.1,0.0005347,0.0005347,0.0005347
49,1144.51,0.84405,0.79928,1.28509,0.73945,0.66702,0.65943,0.4201,1.53231,1.45939,2.1442,0.0005248,0.0005248,0.0005248
50,1169.34,0.82657,0.79064,1.27457,0.66413,0.72072,0.64814,0.42147,1.58519,1.47976,2.22327,0.0005149,0.0005149,0.0005149
51,1192.6,0.82268,0.78666,1.27135,0.73377,0.69924,0.67621,0.43657,1.51824,1.54757,2.08742,0.000505,0.000505,0.000505
52,1215.4,0.81454,0.77278,1.26971,0.72519,0.72166,0.67694,0.43239,1.52024,1.52246,2.15538,0.0004951,0.0004951,0.0004951
53,1238.02,0.8156,0.76806,1.26968,0.67084,0.72478,0.6371,0.41201,1.5673,1.51726,2.19665,0.0004852,0.0004852,0.0004852
54,1260.83,0.81849,0.7698,1.27358,0.73855,0.71866,0.68238,0.44968,1.52456,1.49627,2.12475,0.0004753,0.0004753,0.0004753
55,1283.46,0.8071,0.75285,1.26149,0.67548,0.72991,0.65787,0.4237,1.55463,1.51022,2.1909,0.0004654,0.0004654,0.0004654
56,1307.37,0.80022,0.75732,1.25704,0.7084,0.73261,0.68429,0.44881,1.50877,1.54217,2.15573,0.0004555,0.0004555,0.0004555
57,1331.69,0.79379,0.73105,1.25023,0.71156,0.73008,0.66435,0.44799,1.50349,1.48026,2.11257,0.0004456,0.0004456,0.0004456
58,1356.5,0.79109,0.72584,1.24583,0.7017,0.7436,0.6586,0.43359,1.51726,1.4153,2.13707,0.0004357,0.0004357,0.0004357
59,1381.4,0.78125,0.73131,1.24346,0.74302,0.72747,0.68103,0.44845,1.51889,1.45993,2.16569,0.0004258,0.0004258,0.0004258
60,1406.82,0.77958,0.72414,1.24685,0.68474,0.72673,0.66262,0.4441,1.50099,1.45201,2.15537,0.0004159,0.0004159,0.0004159
61,1431.79,0.78733,0.71863,1.24413,0.68099,0.73923,0.66562,0.44279,1.52053,1.45636,2.17028,0.000406,0.000406,0.000406
62,1457.17,0.77748,0.71366,1.23667,0.77377,0.71499,0.6803,0.44294,1.49547,1.46649,2.10611,0.0003961,0.0003961,0.0003961
63,1482.78,0.77259,0.70782,1.234,0.76535,0.68635,0.66376,0.44243,1.53038,1.48187,2.22725,0.0003862,0.0003862,0.0003862
