epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,966.109,0.87828,0.84539,1.30952,0.79484,0.69636,0.72086,0.47155,1.29811,1.06132,1.75557,0.0005941,0.0005941,0.0005941
43,989.072,0.88077,0.84911,1.31057,0.80268,0.75434,0.76615,0.48854,1.32777,1.04508,1.76743,0.0005842,0.0005842,0.0005842
44,1012.23,0.86458,0.81611,1.30125,0.80485,0.72534,0.74964,0.4666,1.32123,1.08986,1.76947,0.0005743,0.0005743,0.0005743
45,1035.58,0.85997,0.82154,1.29863,0.81794,0.71175,0.73345,0.47483,1.2829,1.05027,1.76068,0.0005644,0.0005644,0.0005644
46,1058.86,0.85179,0.80721,1.28756,0.75813,0.76057,0.75062,0.4807,1.31528,0.97366,1.76199,0.0005545,0.0005545,0.0005545
47,1082.14,0.83999,0.78203,1.27597,0.76207,0.7451,0.75566,0.49028,1.29361,0.99281,1.78132,0.0005446,0.0005446,0.0005446
48,1105.32,0.84742,0.80542,1.28852,0.81531,0.71969,0.73402,0.47096,1.26234,1.02019,1.72361,0.0005347,0.0005347,0.0005347
49,1127.86,0.83712,0.78293,1.28011,0.72203,0.77487,0.73016,0.47668,1.24508,1.00411,1.70314,0.0005248,0.0005248,0.0005248
50,1150.33,0.8511,0.80068,1.28572,0.80858,0.72052,0.7625,0.48903,1.26796,1.00058,1.74209,0.0005149,0.0005149,0.0005149
51,1172.9,0.82644,0.76267,1.27428,0.77661,0.70244,0.7321,0.47767,1.30745,1.03579,1.75492,0.000505,0.000505,0.000505
52,1195.3,0.83076,0.77015,1.27582,0.71399,0.74072,0.71245,0.46951,1.26842,1.01387,1.74575,0.0004951,0.0004951,0.0004951
53,1217.81,0.81779,0.75659,1.26653,0.80525,0.74026,0.7479,0.49644,1.23861,0.96213,1.69868,0.0004852,0.0004852,0.0004852
54,1240.16,0.81676,0.75362,1.26657,0.79689,0.71926,0.75947,0.48938,1.2741,0.97941,1.75066,0.0004753,0.0004753,0.0004753
55,1262.59,0.81378,0.75306,1.25884,0.81378,0.77148,0.76684,0.5092,1.23315,0.94639,1.69228,0.0004654,0.0004654,0.0004654
56,1284.8,0.79853,0.74378,1.25494,0.77161,0.75734,0.75171,0.48274,1.25745,1.00052,1.72073,0.0004555,0.0004555,0.0004555
57,1307.23,0.80694,0.73097,1.26151,0.75898,0.75846,0.75079,0.46806,1.27209,1.00386,1.77336,0.0004456,0.0004456,0.0004456
58,1329.79,0.80835,0.73307,1.25918,0.80684,0.72211,0.74604,0.48451,1.2637,0.97241,1.75365,0.0004357,0.0004357,0.0004357
59,1352.1,0.78852,0.70697,1.24034,0.76361,0.72104,0.7297,0.47263,1.25833,0.97661,1.73855,0.0004258,0.0004258,0.0004258
60,1374.56,0.7915,0.71522,1.2472,0.73209,0.76403,0.75339,0.49127,1.28419,0.97542,1.75885,0.0004159,0.0004159,0.0004159
61,1397.4,0.78439,0.70801,1.23945,0.78006,0.75928,0.73305,0.48154,1.26337,0.99324,1.7549,0.000406,0.000406,0.000406
62,1420.55,0.78212,0.70257,1.2444,0.75909,0.7745,0.75075,0.48046,1.25178,0.97535,1.72204,0.0003961,0.0003961,0.0003961
63,1442.53,0.78248,0.69707,1.24236,0.79661,0.76084,0.75223,0.49729,1.26768,0.99292,1.75822,0.0003862,0.0003862,0.0003862
64,1464.46,0.77958,0.69655,1.2333,0.72976,0.76324,0.72463,0.47052,1.28237,0.97543,1.78425,0.0003763,0.0003763,0.0003763
