epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,700.781,1.27624,2.92566,1.64404,0.24031,0.53677,0.30208,0.14314,1.53903,2.93265,1.85274,0.000302161,0.000302161,0.000302161
2,1469.35,1.29926,2.44067,1.64363,0.31263,0.36379,0.312,0.17941,1.56231,2.1872,1.94216,0.000593178,0.000593178,0.000593178
3,2243.63,1.3149,2.30778,1.65213,0.3167,0.40937,0.36905,0.20381,1.60473,1.89748,1.98618,0.000872198,0.000872198,0.000872198
4,2993.74,1.30559,2.1806,1.63183,0.69811,0.20204,0.31222,0.16322,1.57658,1.98033,1.96223,0.000855005,0.000855005,0.000855005
5,3634.64,1.26265,2.08272,1.59785,0.30383,0.5163,0.42602,0.23245,1.7208,1.84727,2.0474,0.000837007,0.000837007,0.000837007
